Snapshot Date,Snapshot Month,Symbol,Sector,Industry,Archetype,Economic Sensitivity,Investor Role,Mkt Cap Cr,52W Low,CMP,52W High,Buy 20% Less,Day Chg%,1W Return %,1M Return %,Trend,Technical Setup,RSI,Vol Spike,Beta,EPS,PE,Book Value,P/B,Div Yield%,Fair Val,Rev Growth%,ROE%,ROA%,Debt/Equity,News Summary & Digest,Sentiment & Score,News Source,Strengths,Weaknesses,Quality Score,Valuation Score,Timing Score,Total Score,Buying Zone,Buy/Sell Price Range,Final Action
2026-08-31,2026-08,TECHM,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹1,39,175 Cr",1304.1,1628,1854,-12.19%,-0.79,2.78,-1.41,Strong Uptrend,🟡 Consolidating,46.6,1.17,0.6,57.76,27.2,334.41,4.7,3.25,"₹1,444",7.22,,,7.27,"50 articles, dominant topic: earnings. Do These 3 Checks Before Buying Tech Mahindra Limited (NSE:TECHM) For Its Upcoming Dividend - simplywall.st (mostly earnings-related coverage, no strong signal)",Neutral,"simplywall.st, Business Standard, The Economic Times",✓ Good dividend yield (3.2%),✗ Weak REV GROWTH 7.2% | ✗ High debt (7.3x),2,22,15,39,❌ WAIT,"> ₹1,588",HOLD
2026-08-31,2026-08,INFY,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹4,63,334 Cr",982.4,1133.8,1728,-34.39%,-0.89,0.34,0.33,Downtrend,🟡 Consolidating,35.7,1.1,0.78,77.52,14.76,226.41,5.05,4.42,"₹1,938",4.57,32,15.3,9.54,"52 articles, dominant topic: earnings. INFY Share Price Today - Infosys Ltd. Stock Price Live NSE/BSE - Univest (bullish signals: profit rises)",Neutral,"Univest, simplywall.st, TradingView",✓ Strong ROE 32.0% | ✓ Attractive PE (14.8x) | ✓ Good dividend yield (4.4%) | ✓ Oversold RSI (35.7) — good entry,✗ Poor REV GROWTH 4.6% | ✗ High debt (9.5x) | ✗ Below 200-day MA — long-term trend broken,10,24,10,44,❌ WAIT,"< ₹1,550",HOLD
2026-08-31,2026-08,HCLTECH,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹3,51,344 Cr",1030,1312.2,1780.1,-26.29%,-0.3,-0.74,-2.58,Downtrend,🟡 Consolidating,38.1,1.62,0.79,64.21,20.22,273.09,4.75,4.62,"₹1,605",11.18,24.07,13.31,7.06,"69 articles, dominant topic: earnings. HCLTECH Share Price Today - HCL Technologies on NSE/BSE - scanx.trade (bullish signals: profit rises)",Neutral,"scanx.trade, Upstox, Reuters",✓ Strong ROE 24.1% | ✓ Attractive PE (20.2x) | ✓ Good dividend yield (4.6%) | ✓ Oversold RSI (38.1) — good entry,✗ High debt (7.1x) | ✗ Below 200-day MA — long-term trend broken,15,27,10,52,🟠 SMALL BUY,"₹1,284 – ₹1,445",ACCUMULATE
2026-08-31,2026-08,RELIANCE,Energy,Oil & Gas Refining & Marketing,COMMODITY_CYCLICAL,Very High,Cyclical,"₹17,56,515 Cr",1249.8,1277,1611.8,-20.77%,-0.78,-2.5,-2.36,Strong Downtrend,🟠 Volatile,29.6,3.07,0.9,55.58,23.35,668.04,1.94,0.46,₹445,9.59,,,36.65,"16 articles, dominant topic: management. Results: Reliance Industries Limited Beat Earnings Expectations And Analysts Now Have New Forecasts - simplywall.st (mostly management-related coverage, no strong signal)",Neutral,"simplywall.st, Value Research, CNBC",✓ Deeply oversold RSI (29.6),✗ High debt (36.6x) | ✗ Expensive PE (23.4x) | ✗ Below 200-day MA — long-term trend broken,3,6,15,24,❌ WAIT,> ₹489,WATCH
2026-08-31,2026-08,ITC,Consumer Defensive,Tobacco,CONSUMER_STAPLES,Low,Defensive,"₹3,40,058 Cr",265,255.5,427,-40.16%,-3.95,-5.27,-9.07,Strong Downtrend,🟡 Consolidating,21.6,1.95,0.65,15.83,17.14,57.87,4.69,5.93,₹554,4.77,,,3.29,"100 articles, dominant topic: earnings. ITC, Britannia, Tata Consumer shares fall after FSSAI’s red-label proposal; what you need to know - Upstox (bullish signals: outperform, upgrade; bearish signals: downgrade)",Neutral,"Upstox, NDTV Profit, simplywall.st",✓ Attractive PE (17.1x) | ✓ Good dividend yield (5.9%) | ✓ Deeply oversold RSI (21.6),✗ Poor REV GROWTH 4.8% | ✗ Below 200-day MA — long-term trend broken,0,30,15,45,🔎 INVESTIGATE WHY,< ₹443,HOLD
2026-08-31,2026-08,BERGEPAINT,Basic Materials,Specialty Chemicals,QUALITY_GROWTH,Medium,Long-term Growth,"₹58,732 Cr",391.1,497.75,594.55,-16.28%,0.69,-3.44,-3.64,Uptrend,🟡 Consolidating,31.8,0.51,0.7,10.45,48.2,59.31,8.49,0.79,₹261,2.9,,,9.16,"21 articles, dominant topic: dividends. Berger Paints India Limited (NSE:BERGEPAINT) Looks Like A Good Stock, And It's Going Ex-Dividend Soon - simplywall.st (bullish signals: expansion plan; bearish signals: profit falls)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Oversold RSI (31.8) — good entry,✗ Poor REV GROWTH 2.9% | ✗ High debt (9.2x) | ✗ Expensive P/B (8.5x),0,8,20,28,❌ WAIT,> ₹287,WATCH
2026-08-31,2026-08,CDSL,Financial Services,Capital Markets,FINANCIAL_CAPITAL_MARKETS,High,Market-sensitive,"₹29,151 Cr",1116.3,1402.5,1673.7,-16.20%,-0.86,1.26,5.21,Strong Uptrend,🟡 Consolidating,62.8,0.91,1.7,22.58,61.77,93.77,14.87,0.92,₹452,5.79,23.91,16.64,0.11,"100 articles, dominant topic: dividends. Should You Buy Central Depository Services (India) Limited (NSE:CDSL) For Its Upcoming Dividend? - simplywall.st (bullish signals: outperform, record high; bearish signals: downgrade, profit falls)",Neutral,"simplywall.st, Business Today, India Infoline",,✗ Expensive PE (61.8x),17,3,10,30,❌ WAIT,> ₹497,WATCH
2026-08-31,2026-08,HAPPSTMNDS,Technology,Information Technology Services,QUALITY_GROWTH,Medium,Long-term Growth,"₹6,701 Cr",330.2,406.95,596,-31.72%,-0.26,-6.72,7.89,Uptrend,🟡 Consolidating,54.1,0.75,1.23,14.8,30.13,117.93,3.78,1.67,₹370,12.34,13.32,,98.7,"30 articles, dominant topic: dividends. HAPPSTMNDS Stock Price and Chart — NSE:HAPPSTMNDS - TradingView (mostly dividends-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, scanx.trade",✓ Good dividend yield (1.7%),✗ High debt (98.7x),10,22,13,45,❌ WAIT,₹370 – ₹407,HOLD
2026-08-31,2026-08,IEX,Financial Services,Capital Markets,FINANCIAL_CAPITAL_MARKETS,High,Market-sensitive,"₹11,045 Cr",114.6,120.5,160.27,-24.81%,-1.07,-2.04,-8.88,Strong Downtrend,🟡 Consolidating,23.5,1.28,1.21,5.7,21.79,15.25,8.15,3.25,₹114,14.61,,,0.82,"85 articles, dominant topic: earnings. IEX Share Price - Upstox (bullish signals: profit rises)",Neutral,"Upstox, Value Research, simplywall.st",✓ Good dividend yield (3.2%) | ✓ Deeply oversold RSI (23.5),✗ Below 200-day MA — long-term trend broken,5,24,15,44,❌ WAIT,₹114 – ₹125,HOLD
2026-08-31,2026-08,HDFCBANK,Financial Services,Banks - Regional,FINANCIAL_BANK,Medium,Financial,"₹11,21,150 Cr",715.1,709,1020.5,-30.52%,-1.57,-2.74,-5.23,Strong Downtrend,🟠 Volatile,34.5,2.76,1.27,45.78,15.89,393.81,1.85,1.78,₹591,4.73,13.84,1.75,,"72 articles, dominant topic: management. HDFC Bank Share Price - Live NSE: HDFCBANK Stock Price & Chart - Upstox (mostly management-related coverage, no strong signal)",Neutral,"Upstox, The Eastern Herald, Univest",✓ Strong ROA 1.8% | ✓ Oversold RSI (34.5) — good entry,✗ Weak REV GROWTH 4.7% | ✗ Below 200-day MA — long-term trend broken,22,16,10,48,🟠 SMALL BUY,> ₹650,HOLD
2026-08-31,2026-08,GMMPFAUDLR,Industrials,Specialty Industrial Machinery,INDUSTRIAL_CAPEX,High,Cyclical,"₹4,518 Cr",735,1042.45,1307.5,-20.27%,1.53,5.37,20.6,Uptrend,🟡 Consolidating,59.9,0.55,0.89,15.73,63.88,267.92,3.75,0.2,₹315,10.54,,,84.46,"31 articles, dominant topic: dividends. Three Days Left To Buy GMM Pfaudler Limited (NSE:GMMPFAUDLR) Before The Ex-Dividend Date - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, CNBC TV18",,✗ High debt (84.5x) | ✗ Expensive PE (63.9x) | ✗ Expensive P/B (3.8x),5,4,13,22,❌ WAIT,> ₹346,WATCH
2026-08-31,2026-08,TANLA,Technology,Software - Application,QUALITY_GROWTH,Medium,Long-term Growth,"₹6,947 Cr",365.9,530.15,766,-30.79%,-2.59,-6.07,-9.62,Uptrend,🟡 Consolidating,17.4,0.64,1.53,40.19,13.09,187.61,2.8,2.28,"₹1,005",9.68,,,2.12,"50 articles, dominant topic: corporate_actions. TANLA Forecast — Price Target — Prediction for 2027 - TradingView (mostly corporate_actions-related coverage, no strong signal)",Neutral,"TradingView, simplywall.st, Moneycontrol.com",✓ Attractive PE (13.1x) | ✓ Attractive P/B (2.8x) | ✓ Good dividend yield (2.3%) | ✓ Deeply oversold RSI (17.4),✗ Weak REV GROWTH 9.7% | ✗ High debt (2.1x),2,30,25,57,🔎 INVESTIGATE WHY,< ₹804,ACCUMULATE
2026-08-31,2026-08,MUTHOOTFIN,Financial Services,Credit Services,FINANCIAL_NBFC,Medium-High,Financial/Growth,"₹1,28,510 Cr",2604.2,2978.1,4149.5,-28.23%,-3.65,-7.2,-4.54,Strong Downtrend,🟢 Tight Base,54.1,0.83,1.31,300.68,10.65,1011.32,3.17,0.93,"₹1,517",57.67,31.74,6.4,393.56,"34 articles, dominant topic: earnings. Do Muthoot Finance's (NSE:MUTHOOTFIN) Earnings Warrant Your Attention? - simplywall.st (bullish signals: profit rises)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Strong ROE 31.7% | ✓ Strong ROA 6.4% | ✓ Strong REV GROWTH 57.7%,✗ Below 200-day MA — long-term trend broken,40,13,3,56,🟢 ACCUMULATE,"> ₹1,669",ACCUMULATE
2026-08-31,2026-08,HINDALCO,Basic Materials,Aluminum,COMMODITY_CYCLICAL,Very High,Cyclical,"₹2,33,749 Cr",697,1015.45,1176,-13.65%,-2.12,-4.07,4.21,Strong Uptrend,🟡 Consolidating,42.4,1.24,0.75,73.68,14.29,615.28,1.71,0.47,₹589,15.03,,,72.6,"100 articles, dominant topic: earnings. HINDALCO Share Price Today - Hindalco Industries on NSE/BSE - scanx.trade (bullish signals: record high, upgrade)",Bullish (4/10),"scanx.trade, The Economic Times, The Eastern Herald",✓ Bullish news signal (4/10) — positive momentum,✗ High debt (72.6x),7,9,17,33,❌ WAIT,> ₹648,WATCH
2026-08-31,2026-08,TATASTEEL,Basic Materials,Steel,COMMODITY_CYCLICAL,Very High,Cyclical,"₹2,34,530 Cr",153.05,184.35,224.4,-17.85%,-1.15,-1.05,-2.82,Strong Downtrend,🟡 Consolidating,39.7,1.46,1.12,8.84,21.27,81.84,2.3,2.13,₹71,6.2,,,89.02,"50 articles, dominant topic: earnings. Tata Steel Limited (NSE:TATASTEEL) Looks Like A Good Stock, And It's Going Ex-Dividend Soon - simplywall.st (bullish signals: profit rises; bearish signals: downgrade)",Neutral,"simplywall.st, TradingView, vinanet.vn",✓ Oversold RSI (39.7) — good entry,✗ High debt (89.0x) | ✗ Expensive PE (21.3x) | ✗ Below 200-day MA — long-term trend broken,3,9,10,22,❌ WAIT,> ₹78,WATCH
2026-08-31,2026-08,MOIL,Basic Materials,Other Industrial Metals & Mining,COMMODITY_CYCLICAL,Very High,Cyclical,"₹5,460 Cr",242.35,247.8,404.9,-38.80%,-4.05,-2.98,-11.83,Strong Downtrend,🟠 Volatile,26.4,3.04,1.06,14.85,18.07,133.1,2.02,5.26,₹119,-7.12,,,,"52 articles, dominant topic: earnings. MOIL 125 Share Price - Upstox (bullish signals: order win, profit rises; bearish signals: penalty)",Neutral,"Upstox, scanx.trade, BW Businessworld",✓ Good dividend yield (5.3%) | ✓ Deeply oversold RSI (26.4),✗ Poor REV GROWTH -7.1% | ✗ Expensive PE (18.1x) | ✗ Below 200-day MA — long-term trend broken,0,11,15,26,❌ WAIT,> ₹131,WATCH
2026-08-31,2026-08,NMDC,Basic Materials,Steel,COMMODITY_CYCLICAL,Very High,Cyclical,"₹77,553 Cr",68.19,88.2,97.49,-9.53%,1.66,2.68,3.72,Strong Uptrend,🟡 Consolidating,59.1,0.86,0.88,8.48,10.4,38.81,2.27,3.97,₹68,34.16,,,18.8,"87 articles, dominant topic: earnings. NMDC Share Price Declines 4% After Q1 Results Disappoint, Citi Cuts Target Price; NMDC Steel Plunges 8% - NDTV Profit (bearish signals: profit falls)",Neutral,"NDTV Profit, simplywall.st, TradingView",✓ Strong REV GROWTH 34.2%,✗ High debt (18.8x),10,15,13,38,❌ WAIT,> ₹75,HOLD
2026-08-31,2026-08,MOTILALOFS,Financial Services,Capital Markets,FINANCIAL_CAPITAL_MARKETS,High,Market-sensitive,"₹60,907 Cr",614.9,1042.9,1097.1,-4.94%,0.44,5.34,22.41,Strong Uptrend,🟡 Consolidating,88.8,0.51,1.78,32.27,31.34,214.14,4.72,1.11,₹645,27.63,,,165.8,"22 articles, dominant topic: dividends. With 74% ownership, Motilal Oswal Financial Services Limited (NSE:MOTILALOFS) insiders have a lot riding on the company's future - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, vinanet.vn, Univest",✓ Strong REV GROWTH 27.6%,✗ Overbought RSI (88.8) — wait,8,13,10,31,❌ WAIT,> ₹710,WATCH
2026-08-31,2026-08,HDFCLIFE,Financial Services,Insurance - Life,FINANCIAL_INSURANCE,Low-Medium,Defensive,"₹1,18,740 Cr",530.5,543.35,803,-32.33%,-0.85,-1.74,-0.94,Strong Downtrend,🟡 Consolidating,56.1,1.18,0.9,9.12,59.95,89.8,6.09,0.38,₹180,1.71,10.83,0.38,15.88,"37 articles, dominant topic: earnings. Is It Smart To Buy HDFC Life Insurance Company Limited (NSE:HDFCLIFE) Before It Goes Ex-Dividend? - simplywall.st (bearish signals: downgrade)",Neutral,"simplywall.st, TradingView, vinanet.vn",,✗ Poor REV GROWTH 1.7% | ✗ Expensive P/B (6.1x) | ✗ Below 200-day MA — long-term trend broken,8,2,3,13,❌ WAIT,> ₹198,AVOID
2026-08-31,2026-08,CAMS,Technology,Information Technology Services,FINANCIAL_CAPITAL_MARKETS,High,Market-sensitive,"₹18,621 Cr",611.4,782,844.9,-7.44%,2.62,3.99,-1.46,Strong Uptrend,🟠 Volatile,48.6,2.53,1.25,19.85,37.78,53.27,14.08,1.7,₹397,6.59,,,4.86,"51 articles, dominant topic: corporate_actions. Computer Age Management Services Limited (NSE:CAMS) Will Pay A ₹2.50 Dividend In Three Days - simplywall.st (mostly corporate_actions-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, The Economic Times",✓ Volume spike 2.5x on uptrend,,2,13,20,35,❌ WAIT,> ₹437,HOLD
2026-08-31,2026-08,TRENT,Consumer Cyclical,Apparel Retail,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹1,56,237 Cr",2183.6667,2879.9,5674,-49.24%,-0.62,-0.86,-4.19,Strong Downtrend,🟡 Consolidating,27.8,0.96,1.27,33.7,86.94,130.99,22.37,0.14,₹674,17.64,,,36.03,"100 articles, dominant topic: earnings. Trent down over 2% after Q1; brokerages bullish, see up to 21% upside - Business Standard (bullish signals: expansion plan; bearish signals: misses estimates)",Neutral,"Business Standard, India Infoline, Moneycontrol.com",✓ Strong REV GROWTH 17.6% | ✓ Deeply oversold RSI (27.8),✗ High debt (36.0x) | ✗ Expensive PE (86.9x) | ✗ Expensive P/B (22.4x),8,3,15,26,❌ WAIT,> ₹741,WATCH
2026-08-31,2026-08,TITAN,Consumer Cyclical,Luxury Goods,CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹4,54,730 Cr",3303.1,5102.4,5168,-1.27%,-1.29,0.46,4.66,Strong Uptrend,🟡 Consolidating,46.4,0.73,1.05,65.1,78.72,176.88,28.97,0.3,"₹1,302",44.79,,,195,"100 articles, dominant topic: earnings. Why You Might Be Interested In Titan Company Limited (NSE:TITAN) For Its Upcoming Dividend - simplywall.st (bullish signals: beats estimates, outperform, profit rises; bearish signals: profit falls)",Bullish (9/10),"simplywall.st, Business Standard, Moneycontrol.com",✓ Strong REV GROWTH 44.8% | ✓ Bullish news signal (9/10) — positive momentum,✗ High debt (195.0x) | ✗ Expensive PE (78.7x) | ✗ Expensive P/B (29.0x),8,3,19,30,❌ WAIT,"> ₹1,432",WATCH
2026-08-31,2026-08,TATAELXSI,Technology,Software - Application,QUALITY_GROWTH,Medium,Long-term Growth,"₹22,838 Cr",3353.9,3578.6,5950,-39.86%,-2.89,-2.58,-2.57,Strong Downtrend,🟡 Consolidating,30.3,0.91,1.08,103.96,35.26,488.2,7.51,2.04,"₹2,599",0.76,,,5.34,"22 articles, dominant topic: dividends. Just Three Days Till Tata Elxsi Limited (NSE:TATAELXSI) Will Be Trading Ex-Dividend - simplywall.st (mostly dividends-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, Upstox",✓ Good dividend yield (2.0%) | ✓ Oversold RSI (30.3) — good entry,✗ Poor REV GROWTH 0.8% | ✗ High debt (5.3x) | ✗ Below 200-day MA — long-term trend broken,0,14,10,24,❌ WAIT,"> ₹2,859",WATCH
2026-08-31,2026-08,TATAPOWER,Utilities,Utilities - Independent Power Producers,INDUSTRIAL_CAPEX,High,Cyclical,"₹1,16,310 Cr",342.5,347,464.9,-25.36%,-1.38,-7.1,-8.85,Strong Downtrend,🟡 Consolidating,8.4,1.26,0.76,12.08,30.13,123.54,2.95,0.69,₹242,-4.8,,,168.05,"43 articles, dominant topic: earnings. Tata Power's (NSE:TATAPOWER) Problems Go Beyond Weak Profit - simplywall.st (mostly earnings-related coverage, no strong signal)",Neutral,"simplywall.st, TradingView, Business Standard",✓ Deeply oversold RSI (8.4),✗ Poor REV GROWTH -4.8% | ✗ High debt (168.1x) | ✗ Below 200-day MA — long-term trend broken,0,11,15,26,❌ WAIT,> ₹266,WATCH
2026-08-31,2026-08,VOLTAS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",CONSUMER_DISCRETIONARY,Medium-High,Growth/Cyclical,"₹40,269 Cr",1186.8,1194.4,1582.5,-24.52%,-0.47,-3.83,-10.12,Strong Downtrend,🟡 Consolidating,30.1,1.3,1.16,13.55,89.82,192.7,6.32,0.33,₹271,-7.82,,,15.51,"55 articles, dominant topic: earnings. Voltas shares decline 4% as company flags softer Q2 FY27 outlook, commodity and currency risks - Upstox (bullish signals: upgrade; bearish signals: downgrade, show cause notice)",Neutral,"Upstox, Yahoo Finance, simplywall.st",✓ Oversold RSI (30.1) — good entry,✗ Poor REV GROWTH -7.8% | ✗ High debt (15.5x) | ✗ Expensive PE (89.8x),0,3,10,13,❌ WAIT,> ₹298,AVOID
